cvss_score,network_exposed,authentication_required,service_category,exploit_available,severity,exploit_likelihood
9.8,1,0,0,1,3,High
7.5,1,1,1,1,2,High
5.0,0,1,2,0,1,Medium
2.0,0,1,3,0,0,Low
8.5,1,0,0,1,2,High
6.0,1,1,1,0,1,Medium
4.0,0,0,4,0,1,Medium
1.0,0,1,3,0,0,Low
9.0,1,0,0,1,3,High
7.0,1,1,1,1,2,High
5.5,0,1,2,0,1,Medium
3.0,0,1,4,0,0,Low
8.0,1,0,0,1,2,High
6.5,1,1,1,0,1,Medium
4.5,0,0,2,0,1,Medium
2.5,0,1,3,0,0,Low
9.5,1,0,0,1,3,High
7.8,1,1,1,1,2,High
5.2,0,1,2,0,1,Medium
3.5,0,1,4,0,0,Low
8.2,1,0,0,1,2,High
6.8,1,1,1,0,1,Medium
4.8,0,0,2,0,1,Medium
2.8,0,1,3,0,0,Low
9.9,1,0,0,1,3,High
7.2,1,1,1,1,2,High
5.8,0,1,2,0,1,Medium
3.8,0,1,4,0,0,Low
8.8,1,0,0,1,2,High
6.2,1,1,1,0,1,Medium
4.2,0,0,2,0,1,Medium
2.2,0,1,3,0,0,Low
